Transaction_ID,User,Amount,Location,Time,Device,Status
TXN2860,Dev,72874,Unknown,03:28:50,Desktop,Suspicious
TXN1353,Rohan,23294,India,10:20:55,Mobile,Normal
TXN2333,Sanjay,46549,India,09:47:59,Desktop,Normal
TXN1905,Kavya,36439,India,22:22:25,Desktop,Normal
TXN2289,Amit,1433,India,14:26:11,Tablet,Normal
TXN2273,Ritika,2633,India,21:49:09,Tablet,Normal
TXN1938,Simran,15885,UK,08:28:19,Mobile,Normal
TXN2731,Kavya,41509,Nigeria,02:44:47,Laptop,Suspicious
TXN1065,Amit,58875,USA,10:34:02,Mobile,Normal
TXN2323,Ritika,34042,UK,21:23:44,Desktop,Normal
TXN1056,Rajesh,18380,India,17:56:04,Desktop,Normal
TXN2292,Akash,39352,India,21:35:47,Tablet,Normal
TXN2118,Vikram,57432,Singapore,14:58:23,Tablet,Normal
TXN1584,Divya,26098,UAE,10:11:59,Laptop,Normal
TXN1374,Riya,32102,India,13:46:03,Tablet,Normal
TXN1275,Sanjay,27789,USA,16:43:38,Laptop,Normal
TXN1746,Suresh,56749,India,19:41:56,Desktop,Normal
TXN1128,Nikhil,40998,India,18:21:01,Tablet,Normal
TXN2646,Tanvi,69455,China,03:51:53,Desktop,Suspicious
TXN2852,Anjali,59280,India,19:00:48,Mobile,Suspicious
TXN1674,Priya,12285,India,18:09:39,Tablet,Normal
TXN2664,Vikram,66382,India,17:53:50,Desktop,Suspicious
TXN2981,Rajesh,98289,India,05:19:31,Mobile,Suspicious
TXN2083,Rahul,8746,India,20:40:50,Laptop,Normal
TXN2922,Anjali,87320,Nigeria,04:56:28,Tablet,Suspicious
TXN1099,Arjun,29827,India,15:15:17,Mobile,Normal
TXN2179,Vivek,8264,USA,11:16:18,Tablet,Normal
TXN1964,Divya,51514,India,13:10:31,Laptop,Normal
TXN1792,Sanjay,3663,India,14:35:16,Desktop,Normal
TXN1029,Akash,5535,USA,10:08:42,Tablet,Normal
TXN1628,Suresh,46911,India,10:36:12,Tablet,Normal
TXN1944,Suresh,49307,India,18:53:24,Desktop,Normal
TXN1572,Amit,34508,UAE,12:51:09,Mobile,Normal
TXN1907,Rahul,45178,India,18:37:06,Mobile,Normal
TXN2080,Meera,40901,UK,16:16:33,Mobile,Normal
TXN1450,Pooja,10988,India,16:14:24,Desktop,Normal
TXN2609,Simran,61873,Russia,03:16:19,Mobile,Suspicious
TXN2290,Suresh,38218,USA,10:12:11,Tablet,Normal
TXN2078,Karan,35540,India,22:13:44,Desktop,Normal
TXN1254,Anjali,9466,India,13:32:35,Mobile,Normal
TXN1124,Manish,59430,UK,20:45:09,Tablet,Normal
TXN2927,Divya,44760,Russia,03:23:09,Mobile,Suspicious
TXN1251,Rajesh,44721,India,07:14:25,Laptop,Normal
TXN1585,Simran,53632,Singapore,19:14:20,Desktop,Normal
TXN2568,Akash,88098,India,15:15:21,Laptop,Suspicious
TXN1824,Sneha,13937,USA,21:21:22,Desktop,Normal
TXN1507,Sneha,29715,USA,20:20:04,Mobile,Normal
TXN1889,Rajesh,7977,India,08:32:18,Mobile,Normal
TXN1070,Vivek,28020,India,11:47:59,Mobile,Normal
TXN2608,Shreya,87462,India,03:04:23,Laptop,Suspicious
TXN2532,Amit,93166,India,01:31:55,Laptop,Suspicious
TXN1247,Vivek,4447,India,11:48:39,Laptop,Normal
